Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,class,meta,meta
OUI,H,NON,NON,OUI,COURT,NON,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,NIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
OUI,M,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,BIGEON,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,OUVRIE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,OUI,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
