Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,class,meta,meta
NON,F,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,DREUX,DREUX,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,OUVRIE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
OUI,M,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,NIVARD,BAZIRE,No
NON,M,NON,OUI,NON,COURT,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,NON,NON,MEDIUM,OUI,NON,BAZIRE,DREUX,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,BIGEON,NIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,BAZIRE,No
NON,H,OUI,OUI,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,ABRIVARD,No
NON,H,NON,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,MARTENS,ABRIVARD,No
NON,M,NON,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,OUVRIE,ABRIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
