Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,LONG,VERCRUYSSE,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,M,LONG,THOMAIN,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,RAFFIN,VINCENNES,1 JANVIER 2014
NON,NON,NON, ,OUI, ,MEDIUM,NON,NON,H,LONG,LOCQUENAUX,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,NON, ,MEDIUM,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,VERCRUYSSE,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,BIGEON,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,F,COURT,THOMAIN,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,LEVESQUE,VINCENNES,1 JANVIER 2014
OUI,NON,NON, ,OUI, ,MEDIUM,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,F,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,LONG,ABRIVARD,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,OUI, ,MEDIUM,OUI,OUI,H,LONG,,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,OUI, ,MEDIUM,OUI,OUI,H,LONG,,VINCENNES,1 JANVIER 2014
NON,OUI,OUI,NON,,NON,MEDIUM,,NON,F,COURT,ABRIVARD,VINCENNES,1 JANVIER 2014
OUI,OUI,NON,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,NIVARD,VINCENNES,1 JANVIER 2014
NON,OUI,OUI,NON,,NON,MEDIUM,,NON,F,COURT,OUVRIE,VINCENNES,1 JANVIER 2014
NON,OUI,NON,OUI,NON,NON,MEDIUM,NON,NON,M,COURT,LEVESQUE,VINCENNES,1 JANVIER 2014
NON,OUI,OUI,NON,OUI,OUI,MEDIUM,NON,NON,H,COURT,VERVA,VINCENNES,1 JANVIER 2014
OUI,NON,OUI,NON,OUI,NON,MEDIUM,OUI,NON,H,LONG,THOMAIN,VINCENNES,1 JANVIER 2015
OUI,NON,OUI,NON,NON,NON,MEDIUM,NON,OUI,F,LONG,DREUX,VINCENNES,1 JANVIER 2015
NON,NON,NON,NON,NON,OUI,MEDIUM,NON,OUI,H,LONG,,VINCENNES,1 JANVIER 2015
NON,NON,OUI,OUI,NON,NON,MEDIUM,NON,OUI,H,LONG,VERCRUYSSE,VINCENNES,1 JANVIER 2015
OUI,NON,NON,NON,NON,OUI,MEDIUM,NON,OUI,M,LONG,,VINCENNES,1 JANVIER 2015
NON,NON,NON,NON,NON,OUI,JEUNE,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2015
NON,NON,OUI,NON,OUI,NON,JEUNE,NON,NON,H,COURT,RAFFIN,VINCENNES,1 JANVIER 2015
NON,NON,OUI,NON,OUI,OUI,JEUNE,NON,NON,M,COURT,ABRIVARD,VINCENNES,1 JANVIER 2015
OUI,NON,OUI,NON,NON,OUI,JEUNE,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2015
