Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,,VIEUX,,OUI,NON,F,COURT,VERVA,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,BAZIRE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,LACROIX,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,DUBOIS,VINCENNES,OUI,NON,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,PITON,VINCENNES,OUI,NON,LUNDI 01 JANVIER 2007
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LINDER,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,LOCQUENEUX,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,BAZIRE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,OUI,F,LONG,VERCRUYSSE,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
OUI,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,MARTENS,VINCENNES,OUI,NON,LUNDI 01 JANVIER 2007
NON,OUI,NON,,VIEUX,,OUI,NON,F,COURT,DREUX,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
OUI,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,VERVA,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,NON,M,COURT,RAFFIN,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,POIRIER,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,NON,,VIEUX,,OUI,NON,F,COURT,BLANCHETIERE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,NON,H,COURT,COMPAS,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,NON,,VIEUX,,OUI,NON,H,COURT,POREE,VINCENNES,OUI,OUI,LUNDI 01 JANVIER 2007
NON,OUI,NON,,VIEUX,,OUI,NON,H,COURT,LEMOINE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,NON,,VIEUX,,OUI,NON,H,COURT,JEHANNE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,GOSSELIN,VINCENNES,OUI,NON,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,BRAULT,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,OUI,H,COURT,LAVILLE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,OUI,H,COURT,LAMARE,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,ROUSSEL,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,DUVALDESTIN,VINCENNES,OUI,NON,LUNDI 01 JANVIER 2007
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,DENECHERE,VINCENNES,NON,OUI,LUNDI 01 JANVIER 2007
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,LUNDI 01 JANVIER 2007
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,LOCQUENEUX,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,PITON,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,KORPI,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,ROUSSEL,VINCENNES,NON,OUI,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,DELASALLE,VINCENNES,OUI,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,VERCRUYSSE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,ROUSSEL,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,THOUROUDE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,DENECHERE,VINCENNES,NON,OUI,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,BAUDRON,VINCENNES,OUI,NON,MARDI 01 JANVIER 2008
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,MARIE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,M,COURT,NIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
