Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2100,NIVARD,VINCENNES,4 FEVRIER 2017
OUI,NON,NON,NON,NON,NON,4,NON,NON,H, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,NON,NON,NON,NON,OUI,4,NON,NON,F, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,NON,NON,NON,9,NON,NON,H, 2850,RAFFIN,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2850,NIVARD,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,OUI,NON,NON,7,NON,NON,F, 2850,AUTRES,VINCENNES,4 FEVRIER 2017
OUI,NON,OUI,NON,NON,NON,8,NON,NON,F, 2850,AUTRES,VINCENNES,4 FEVRIER 2017
NON,NON,OUI,NON,NON,NON,8,NON,NON,H, 2850,AUTRES,VINCENNES,4 FEVRIER 2017
NON,OUI,OUI,NON,NON,NON,5,NON,NON,M, 2100,RAFFIN,VINCENNES,4 FEVRIER 2017
OUI,OUI,OUI,NON,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,OUI,NON,OUI,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
NON,OUI,OUI,OUI,NON,NON,5,NON,NON,H, 2100,ABRIVARD,VINCENNES,4 FEVRIER 2017
NON,OUI,OUI,NON,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,4 FEVRIER 2017
