Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,NON,NON,NON,7,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2700,OUVRIE,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,5,NON,NON,F, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2700,ABRIVARD,VINCENNES,1 FEVRIER 2016
OUI,NON,NON,NON,NON,OUI,4,NON,NON,H, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,M, 2700,ABRIVARD,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,4,NON,NON,M, 2700,BAZIRE,VINCENNES,1 FEVRIER 2016
OUI,NON,NON,OUI,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,1 FEVRIER 2016
NON,NON,OUI,NON,NON,OUI,7,NON,OUI,H, 2875,AUTRES,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,OUI,H, 2875,ABRIVARD,VINCENNES,2 FEVRIER 2016
OUI,NON,NON,NON,NON,NON,7,NON,OUI,H, 2875,AUTRES,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,OUI,H, 2875,VERCRUYSSE,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2875,BAZIRE,VINCENNES,2 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,ABRIVARD,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,OUVRIE,VINCENNES,2 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,NON,NON,OUI,6,NON,NON,F, 2700,AUTRES,VINCENNES,2 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,2 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,5,NON,NON,F, 2100,NIVARD,VINCENNES,2 FEVRIER 2016
OUI,OUI,OUI,NON,NON,NON,5,NON,NON,F, 2100,AUTRES,VINCENNES,2 FEVRIER 2016
OUI,OUI,OUI,OUI,NON,NON,5,NON,NON,F, 2100,BAZIRE,VINCENNES,2 FEVRIER 2016
OUI,OUI,OUI,NON,NON,NON,5,NON,NON,F, 2100,AUTRES,VINCENNES,2 FEVRIER 2016
