Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
,NON,NON,NON,NON,NON,4,NON,NON,H,2700,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,4,NON,NON,M,2700,VERCRUYSSE,VINCENNES,
,NON,NON,NON,NON,OUI,4,NON,NON,M,2700,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,4,NON,NON,H,2700,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,4,NON,NON,H,2700,BAZIRE,VINCENNES,
,NON,NON,OUI,NON,NON,5,NON,NON,H,2700,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,5,NON,NON,H,2700,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,5,NON,NON,M,2700,VERCRUYSSE,VINCENNES,
,NON,NON,NON,NON,NON,5,NON,NON,M,2700,PITON,VINCENNES,
,NON,NON,OUI,NON,NON,5,NON,NON,M,2700,ABRIVARD,VINCENNES,
,NON,NON,NON,NON,NON,4,NON,NON,F,2700,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,4,NON,NON,F,2700,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,4,NON,NON,F,2700,OUVRIE,VINCENNES,
,NON,NON,OUI,NON,NON,4,NON,NON,F,2700,VERCRUYSSE,VINCENNES,
,NON,NON,NON,NON,NON,4,NON,NON,F,2700,NIVARD,VINCENNES,
,NON,NON,NON,NON,NON,5,NON,NON,M,3000,NIVARD,VINCENNES,
,NON,NON,OUI,NON,NON,5,OUI,NON,M,3000,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,5,OUI,NON,M,3000,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,5,NON,NON,M,3000,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,5,NON,NON,M,3000,BAZIRE,VINCENNES,
,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,6,NON,OUI,F,2850,ABRIVARD,VINCENNES,
,NON,NON,OUI,NON,NON,6,NON,OUI,F,2850,RAFFIN,VINCENNES,
