;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;S. Ernault ;;2700;NON;NON;NON;4;H;NON;NON;NON;NON;;
;P. Vercruysse;;2700;NON;NON;NON;4;M;NON;NON;NON;NON;;
;A. Chavatte;;2700;NON;NON;NON;4;M;NON;NON;NON;OUI;;
;A. Barrier;;2700;NON;NON;NON;4;H;NON;NON;OUI;NON;;
;J.M. Bazire;;2700;NON;NON;NON;4;H;NON;NON;OUI;NON;;
;D. Thomain;;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;;
;N. Roussel;;2700;NON;NON;NON;5;H;NON;NON;NON;NON;;
;P. Vercruysse;;2700;NON;NON;NON;5;M;NON;NON;NON;NON;;
;B. Piton;;2700;NON;NON;NON;5;M;NON;NON;NON;NON;;
;A. Abrivard;;2700;NON;NON;NON;5;M;NON;NON;OUI;NON;;
;S. Roger;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;A. Barrier;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;F. Ouvrie;;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;;
;P. Vercruysse;;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;;
;F. Nivard;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;F. Nivard;;3000;NON;NON;NON;5;M;NON;NON;NON;NON;;
;C. Megissier;;3000;NON;NON;NON;5;M;OUI;NON;OUI;NON;;
;Ph. Daugeard;;3000;NON;NON;NON;5;M;OUI;NON;OUI;NON;;
;R. Derieux;;3000;NON;NON;NON;5;M;NON;NON;NON;NON;;
;J.M. Bazire;;3000;NON;NON;NON;5;M;NON;NON;OUI;NON;;
;B. Goop;;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;A. Abrivard;;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;;
;E. Raffin;;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;;
;P. Vercruysse;;2850;NON;NON;NON;6;F;OUI;NON;NON;NON;;
;M. Mottier;;2850;NON;NON;NON;6;F;NON;NON;NON;OUI;;
;D. Bonne;;2700;NON;NON;NON;8;M;OUI;OUI;NON;NON;;
;W. Bigeon;;2700;NON;NON;NON;10;H;NON;NON;NON;NON;;
;J.M. Bazire;;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;;
;L. Guinoiseau;;2700;NON;NON;NON;8;F;NON;NON;OUI;NON;;
;F. Nivard;;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;;
;J.M. Bazire;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;D. Bonne;;2850;NON;NON;NON;7;H;NON;NON;NON;NON;;
;Ch. Martens;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J. Verbeeck;;2850;NON;NON;NON;7;M;NON;NON;OUI;NON;;
;F. Ouvrie;;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;E. Raffin;;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;;
;F. Ouvrie;;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;;
;L. Verva;;2700;NON;NON;NON;9;H;NON;NON;NON;NON;;
;D. Locqueneux;;2700;NON;NON;NON;7;F;NON;NON;NON;NON;;
;A. Barrier;;2700;NON;NON;NON;7;F;NON;NON;OUI;NON;;
;F. Ouvrie;;2100;NON;OUI;NON;7;H;NON;NON;OUI;NON;;
;R.Ch. Larue;;2100;NON;OUI;NON;9;H;NON;NON;NON;OUI;;
;F. Nivard;;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;;
;Ph. Daugeard;;2100;OUI;OUI;NON;7;H;NON;NON;NON;NON;;
;S. Hardy;;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;;
;F. Nivard;;2100;NON;OUI;NON;7;H;NON;NON;NON;NON;;
;P. Levesque;;2100;NON;OUI;NON;8;F;OUI;NON;OUI;NON;;
;A. Barrier;;2100;NON;OUI;NON;8;H;NON;NON;OUI;NON;;
;P. Vercruysse;;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;;
;D. Locqueneux;;2100;OUI;OUI;NON;7;M;NON;NON;NON;NON;;
;P.Edouard Mar;;2850;OUI;NON;NON;5;F;NON;NON;OUI;NON;;
