Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
S. Ernault ;;2700;NON;NON;NON;4;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;;2700;NON;NON;NON;4;M;NON;NON;NON;NON;VINCENNES;
A. Chavatte;;2700;NON;NON;NON;4;M;NON;NON;NON;OUI;VINCENNES;
A. Barrier;;2700;NON;NON;NON;4;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;;2700;NON;NON;NON;4;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;VINCENNES;
N. Roussel;;2700;NON;NON;NON;5;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;;2700;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
B. Piton;;2700;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
A. Abrivard;;2700;NON;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
S. Roger;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;;3000;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
C. Megissier;;3000;NON;NON;NON;5;M;OUI;NON;OUI;NON;VINCENNES;
Ph. Daugeard;;3000;NON;NON;NON;5;M;OUI;NON;OUI;NON;VINCENNES;
R. Derieux;;3000;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;;3000;NON;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
B. Goop;;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
A. Abrivard;;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;;2850;NON;NON;NON;6;F;OUI;NON;NON;NON;VINCENNES;
M. Mottier;;2850;NON;NON;NON;6;F;NON;NON;NON;OUI;VINCENNES;
D. Bonne;;2700;NON;NON;NON;8;M;OUI;OUI;NON;NON;VINCENNES;
W. Bigeon;;2700;NON;NON;NON;10;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
L. Guinoiseau;;2700;NON;NON;NON;8;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
D. Bonne;;2850;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J. Verbeeck;;2850;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;VINCENNES;
L. Verva;;2700;NON;NON;NON;9;H;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;;2700;NON;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;;2100;NON;OUI;NON;7;H;NON;NON;OUI;NON;VINCENNES;
R.Ch. Larue;;2100;NON;OUI;NON;9;H;NON;NON;NON;OUI;VINCENNES;
F. Nivard;;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;;2100;OUI;OUI;NON;7;H;NON;NON;NON;NON;VINCENNES;
S. Hardy;;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;;2100;NON;OUI;NON;7;H;NON;NON;NON;NON;VINCENNES;
P. Levesque;;2100;NON;OUI;NON;8;F;OUI;NON;OUI;NON;VINCENNES;
A. Barrier;;2100;NON;OUI;NON;8;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;;2100;OUI;OUI;NON;7;M;NON;NON;NON;NON;VINCENNES;
P.Edouard Mar;;2850;OUI;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
P.Y. Verva;;2850;OUI;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
A.G. Maillard;;2850;OUI;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
M. Bezier;;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
L. Laudren;;2850;NON;NON;NON;5;F;NON;NON;NON;OUI;VINCENNES;
P.Y. Verva;;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;;2700;NON;NON;NON;7;M;OUI;NON;NON;NON;VINCENNES;
S. Baude;;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;;2700;NON;NON;NON;8;H;OUI;NON;NON;NON;VINCENNES;
Ch. Martens;;2700;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
R. Derieux;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
