Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,OUI,NON,NON,NON,6,NON,NON,F, 2100,M. abriva.,VINCENNES,1 Janvier 2016
NON,OUI,NON,NON,NON,NON,6,NON,NON,H, 2100,F. nivard,VINCENNES,1 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,6,NON,NON,F, 2100,F. ouvrie,VINCENNES,1 Janvier 2016
NON,OUI,NON,OUI,NON,NON,6,NON,NON,M, 2100,P. levesq.,VINCENNES,1 Janvier 2016
NON,OUI,OUI,NON,NON,NON,6,NON,NON,H, 2100,P.y. verva,VINCENNES,1 Janvier 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,H, 2850,A. thomas,VINCENNES,1 Janvier 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,F, 2850,Y. dreux,VINCENNES,1 Janvier 2016
NON,NON,NON,NON,NON,NON,8,NON,OUI,H, 2850,G. delaune,VINCENNES,1 Janvier 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2850,P. vercru.,VINCENNES,1 Janvier 2016
NON,NON,NON,NON,NON,OUI,7,NON,OUI,M, 2850,S. roger,VINCENNES,1 Janvier 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,F. ouvrie,VINCENNES,1 Janvier 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,J.m. bazi.,VINCENNES,1 Janvier 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,E. lamber.,VINCENNES,1 Janvier 2016
NON,NON,NON,NON,NON,NON,6,NON,NON,F, 2700,G. lannoo,VINCENNES,1 Janvier 2016
NON,NON,NON,OUI,NON,NON,6,NON,NON,F, 2700,S. hardy,VINCENNES,1 Janvier 2016
